No,名前,略称,性別,属性,ポジション,Lv1 GP,Lv1 TP,Lv1 Kic,Lv1 Bod,Lv1 Con,Lv1 Gua,Lv1 Spe,Lv1 Sta,Lv1 Gut,Lv99 GP,Lv99 TP,Lv99 Kic,Lv99 Bod,Lv99 Con,Lv99 Gua,Lv99 Spe,Lv99 Sta,Lv99 Gut,GP Type,TP Type,Kic Type,Bod Type,Con Type,Gua Type,Spe Type,Sta Type,Gut Type,Fre,Total,技1,技種,威力,TP,属性,技2,技種,威力,TP,属性,技3,技種,威力,TP,属性,技4,技種,威力,TP,属性,検索用1,検索用2,検索用3,検索用4,検索用5,検索用6,検索用7,検索用8
45,黒上　呪,くろがみ,男,林,FW,31,41,9,10,9,9,8,11,10,121,120,52,45,48,52,52,58,45,1,2,2,2,3,2,1,1,4,15,367,のろい,DR,15,17,一致,サイコショット,NS,31,20,一致,ドッペルゲンガー,BL,16,17,一致,デスゾーン,NS,104,59,一致,のろいサイコショットドッペルゲンガーデスゾーン,のろいサイコショットドッペルゲンガーデスゾーン,のろいサイコショットドッペルゲンガーデスゾーン,のろいサイコショットドッペルゲンガーデスゾーン,DRNSBLNS,DRNSBLNS,DRNSBLNS,DRNSBLNS
46,魔界　崇雄,まかい,男,林,MF,40,48,8,8,10,8,11,11,9,143,100,55,50,54,44,48,56,54,4,5,4,4,5,4,1,4,4,16,377,おんりょう,BL,16,17,一致,のろい,DR,15,17,一致,くものいと,BL,56,30,一致,じごくぐるま,DR,85,38,,おんりょうのろいくものいとじごくぐるま,おんりょうのろいくものいとじごくぐるま,おんりょうのろいくものいとじごくぐるま,おんりょうのろいくものいとじごくぐるま,BLDRBLDR,BLDRBLDR,BLDRBLDR,BLDRBLDR
47,猪口　兵吾,イノシシ,男,火,GK,69,48,18,10,12,16,9,13,10,217,100,68,44,44,69,60,62,69,2,4,2,3,4,2,1,2,1,15,431,リカバリー,SK,0,0,,ワイルドクロー,CA,41,27,,ばくれつパンチ,P1,67,36,一致,ちゃぶだいがえし,P1,76,41,,リカバリーワイルドクローばくれつパンチちゃぶだいがえし,リカバリーワイルドクローばくれつパンチちゃぶだいがえし,リカバリーワイルドクローばくれつパンチちゃぶだいがえし,リカバリーワイルドクローばくれつパンチちゃぶだいがえし,SKCAP1P1,SKCAP1P1,SKCAP1P1,SKCAP1P1
48,鶏井　亮太,ニワトリ,男,火,MF,66,44,7,10,10,16,13,14,9,189,101,44,52,56,46,64,67,54,2,1,2,1,1,2,1,2,3,28,411,ダッシュアクセル,DR,8,15,,コンドルダイブ,NS,58,24,,カマイタチ,DR,61,30,,ブーストグライダー,DR,117,50,一致,ダッシュアクセルコンドルダイブカマイタチブーストグライダー,ダッシュアクセルコンドルダイブカマイタチブーストグライダー,ダッシュアクセルコンドルダイブカマイタチブーストグライダー,ダッシュアクセルコンドルダイブカマイタチブーストグライダー,DRNSDRDR,DRNSDRDR,DRNSDRDR,DRNSDRDR
49,魚住　拓人,サカナ,男,林,DF,69,51,11,18,9,8,14,11,9,167,113,52,64,51,51,51,62,51,1,1,4,2,2,4,1,1,1,20,402,クイックドロウ,BL,8,15,一致,スピニングカット,BB,58,30,,たまのりピエロ,DR,8,15,,ラン・ボール・ラン,NS,65,33,一致,クイックドロウスピニングカットたまのりピエロラン・ボール・ラン,クイックドロウスピニングカットたまのりピエロラン・ボール・ラン,クイックドロウスピニングカットたまのりピエロラン・ボール・ラン,クイックドロウスピニングカットたまのりピエロラン・ボール・ラン,BLBBDRNS,BLBBDRNS,BLBBDRNS,BLBBDRNS
50,蛙田　達士,カエル,男,林,DF,61,33,9,9,7,16,15,13,11,167,109,48,52,48,48,54,57,50,1,1,4,2,2,4,1,1,1,18,375,キラースライド,BL,8,10,一致,ダッシュアクセル,DR,8,15,,フェイクボール,BL,46,25,一致,くものいと,BL,56,30,一致,キラースライドダッシュアクセルフェイクボールくものいと,キラースライドダッシュアクセルフェイクボールくものいと,キラースライドダッシュアクセルフェイクボールくものいと,キラースライドダッシュアクセルフェイクボールくものいと,BLDRBLBL,BLDRBLBL,BLDRBLBL,BLDRBLBL
51,獅子王　吼,ライオン,男,山,DF,66,40,19,11,9,19,7,12,9,195,113,78,52,47,64,55,69,68,2,4,2,3,4,2,1,2,1,27,460,スーパーアルマジロ,DR,38,22,一致,ホーントレイン,BB,16,17,一致,カウンターストライク,P2,83,43,,ラン・ボール・ラン,NS,65,33,,スーパーアルマジロホーントレインカウンターストライクラン・ボール・ラン,スーパーアルマジロホーントレインカウンターストライクラン・ボール・ラン,スーパーアルマジロホーントレインカウンターストライクラン・ボール・ラン,スーパーアルマジロホーントレインカウンターストライクラン・ボール・ラン,DRBBP2NS,DRBBP2NS,DRBBP2NS,DRBBP2NS
52,香芽　レオン,カメレオン,男,風,MF,61,45,10,10,14,9,17,13,7,176,101,44,45,45,55,53,60,48,1,2,2,2,3,2,1,1,4,15,365,イケメンＵＰ！,SK,0,0,,クイックドロウ,BL,8,15,,うしろのしょうめん,BL,41,17,,とうめいフェイント,DR,76,36,,イケメンＵＰ！クイックドロウうしろのしょうめんとうめいフェイント,イケメンＵＰ！クイックドロウうしろのしょうめんとうめいフェイント,イケメンＵＰ！クイックドロウうしろのしょうめんとうめいフェイント,イケメンＵＰ！クイックドロウうしろのしょうめんとうめいフェイント,SKBLBLDR,SKBLBLDR,SKBLBLDR,SKBLBLDR
53,大鷲　誠次,ワシ,男,風,MF,76,51,13,15,17,11,18,13,10,193,148,61,68,62,52,68,71,68,1,1,4,2,2,4,1,1,1,23,473,コンドルダイブ,NS,58,24,一致,ホークショット,BS,78,34,一致,イリュージョンボール,DR,47,23,,イーグルバスター,LS,108,74,,コンドルダイブホークショットイリュージョンボールイーグルバスター,コンドルダイブホークショットイリュージョンボールイーグルバスター,コンドルダイブホークショットイリュージョンボールイーグルバスター,コンドルダイブホークショットイリュージョンボールイーグルバスター,NSBSDRLS,NSBSDRLS,NSBSDRLS,NSBSDRLS
54,猿田　登,サル,男,風,MF,56,43,7,12,7,9,10,14,8,184,100,54,64,51,48,53,52,54,1,2,2,2,3,2,1,1,4,19,395,モンキーターン,DR,15,17,,ターザンキック,NS,31,20,,コイルターン,BL,8,15,一致,ムーンサルト,DR,38,22,一致,モンキーターンターザンキックコイルターンムーンサルト,モンキーターンターザンキックコイルターンムーンサルト,モンキーターンターザンキックコイルターンムーンサルト,モンキーターンターザンキックコイルターンムーンサルト,DRNSBLDR,DRNSBLDR,DRNSBLDR,DRNSBLDR
55,五利　真吾,ゴリラ,男,山,FW,69,48,16,16,9,17,5,17,10,191,108,78,66,49,64,54,52,67,2,4,2,3,4,2,1,2,1,24,454,リカバリー,SK,0,0,,ターザンキック,NS,31,20,一致,スーパーアルマジロ,DR,38,22,一致,ドこんじょうバット,BS,80,42,,リカバリーターザンキックスーパーアルマジロドこんじょうバット,リカバリーターザンキックスーパーアルマジロドこんじょうバット,リカバリーターザンキックスーパーアルマジロドこんじょうバット,リカバリーターザンキックスーパーアルマジロドこんじょうバット,SKNSDRBS,SKNSDRBS,SKNSDRBS,SKNSDRBS
56,蛇丸　彰真,ヘビ,男,林,FW,56,49,9,15,16,9,13,12,10,184,112,55,63,62,49,55,65,45,1,2,2,2,3,2,1,1,4,18,412,スネークショット,NS,22,17,,ジグザグスパーク,DR,47,23,,クロスドライブ,NS,67,33,,ドラゴングランド,NS,103,56,,スネークショットジグザグスパーククロスドライブドラゴングランド,スネークショットジグザグスパーククロスドライブドラゴングランド,スネークショットジグザグスパーククロスドライブドラゴングランド,スネークショットジグザグスパーククロスドライブドラゴングランド,NSDRNSNS,NSDRNSNS,NSDRNSNS,NSDRNSNS
57,水前寺　馳威太,チーター,男,風,FW,80,51,14,10,17,7,20,14,11,195,133,63,47,69,55,79,42,47,1,1,4,2,2,4,1,1,1,23,425,ターザンキック,NS,31,20,,ダッシュアクセル,DR,8,15,,ダイナマイトシュート,NS,70,35,,ぶんしんシュート,NS,89,51,,ターザンキックダッシュアクセルダイナマイトシュートぶんしんシュート,ターザンキックダッシュアクセルダイナマイトシュートぶんしんシュート,ターザンキックダッシュアクセルダイナマイトシュートぶんしんシュート,ターザンキックダッシュアクセルダイナマイトシュートぶんしんシュート,NSDRNSNS,NSDRNSNS,NSDRNSNS,NSDRNSNS
58,小荒　登,コアラ,男,林,MF,40,33,11,11,11,10,9,11,10,132,112,52,45,53,51,48,46,49,1,1,4,2,2,4,1,1,1,24,368,ターザンキック,NS,31,20,,モンキーターン,DR,15,17,,ラン・ボール・ラン,NS,65,33,一致,イリュージョンボール,DR,47,23,一致,ターザンキックモンキーターンラン・ボール・ランイリュージョンボール,ターザンキックモンキーターンラン・ボール・ランイリュージョンボール,ターザンキックモンキーターンラン・ボール・ランイリュージョンボール,ターザンキックモンキーターンラン・ボール・ランイリュージョンボール,NSDRNSDR,NSDRNSDR,NSDRNSDR,NSDRNSDR
59,判　竹夫,パンダ,男,火,FW,37,66,10,10,8,9,10,7,8,123,132,52,51,48,52,52,51,46,1,2,2,2,3,2,1,1,4,20,372,キラースライド,BL,8,10,,たまのりピエロ,DR,8,15,,クンフーヘッド,NS,70,35,,アルマジロサーカス,DR,83,38,一致,キラースライドたまのりピエロクンフーヘッドアルマジロサーカス,キラースライドたまのりピエロクンフーヘッドアルマジロサーカス,キラースライドたまのりピエロクンフーヘッドアルマジロサーカス,キラースライドたまのりピエロクンフーヘッドアルマジロサーカス,BLDRNSDR,BLDRNSDR,BLDRNSDR,BLDRNSDR
60,荒井川　熊巳,アライグマ,男,林,DF,36,43,8,7,9,10,13,9,9,123,121,53,53,53,44,51,44,47,1,1,1,1,1,1,1,1,1,20,365,スーパーアルマジロ,DR,38,22,,グレネードショット,NS,24,17,,ホーントレイン,BB,16,17,,うしろのしょうめん,BL,41,17,,スーパーアルマジログレネードショットホーントレインうしろのしょうめん,スーパーアルマジログレネードショットホーントレインうしろのしょうめん,スーパーアルマジログレネードショットホーントレインうしろのしょうめん,スーパーアルマジログレネードショットホーントレインうしろのしょうめん,DRNSBBBL,DRNSBBBL,DRNSBBBL,DRNSBBBL
61,根津　光夫,ネズミ,男,山,MF,42,41,4,5,11,4,23,11,9,158,112,42,50,52,44,79,54,45,4,5,4,4,5,4,1,4,4,20,386,フェイクボール,BL,46,25,,ごりむちゅう,DR,49,23,一致,かみかくし,NS,43,24,一致,ざんぞう,DR,52,25,,フェイクボールごりむちゅうかみかくしざんぞう,フェイクボールごりむちゅうかみかくしざんぞう,フェイクボールごりむちゅうかみかくしざんぞう,フェイクボールごりむちゅうかみかくしざんぞう,BLDRNSDR,BLDRNSDR,BLDRNSDR,BLDRNSDR
62,牛尾　空也,ウシ,男,火,GK,32,40,9,19,9,20,10,8,11,171,174,41,68,48,77,31,51,64,2,2,2,3,4,2,1,2,1,15,395,ホーントレイン,BB,16,17,,タフネスブロック,CA,10,17,,ワイルドクロー,CA,41,27,,ばくれつパンチ,P1,67,36,一致,ホーントレインタフネスブロックワイルドクローばくれつパンチ,ホーントレインタフネスブロックワイルドクローばくれつパンチ,ホーントレインタフネスブロックワイルドクローばくれつパンチ,ホーントレインタフネスブロックワイルドクローばくれつパンチ,BBCACAP1,BBCACAP1,BBCACAP1,BBCACAP1
63,杉森　威,たけし,男,林,GK,48,66,11,14,13,13,13,11,13,206,177,75,69,68,76,75,78,76,1,1,1,1,1,1,1,1,1,31,548,ネバーギブアップ,SK,0,0,,シュートポケット,CA,44,28,一致,ロケットこぶし,P1,41,27,,ダブルロケット,P1,90,48,,ネバーギブアップシュートポケットロケットこぶしダブルロケット,ネバーギブアップシュートポケットロケットこぶしダブルロケット,ネバーギブアップシュートポケットロケットこぶしダブルロケット,ネバーギブアップシュートポケットロケットこぶしダブルロケット,SKCAP1P1,SKCAP1P1,SKCAP1P1,SKCAP1P1
64,弘山　誘,ゆう,男,風,DF,75,76,16,16,15,16,13,20,17,140,112,52,52,44,47,50,52,48,1,1,4,2,2,4,1,1,1,12,357,スーパースキャン（Ｂ）,BL,39,23,,うしろのしょうめん,BL,41,17,,スーパースキャン（Ｄ）,DR,38,22,,パトリオットシュート,LS,69,50,,スーパースキャン（Ｂ）うしろのしょうめんスーパースキャン（Ｄ）パトリオットシュート,スーパースキャン（Ｂ）うしろのしょうめんスーパースキャン（Ｄ）パトリオットシュート,スーパースキャン（Ｂ）うしろのしょうめんスーパースキャン（Ｄ）パトリオットシュート,スーパースキャン（Ｂ）うしろのしょうめんスーパースキャン（Ｄ）パトリオットシュート,BLBLDRLS,BLBLDRLS,BLBLDRLS,BLBLDRLS
65,花岡　強,つよし,男,火,DF,74,80,16,15,14,17,15,23,16,145,121,44,46,46,52,47,52,52,1,1,1,1,1,1,1,1,1,16,355,スーパースキャン（Ｂ）,BL,39,23,,スーパースキャン（Ｄ）,DR,38,22,,サイコショット,NS,31,20,,クンフーヘッド,NS,70,35,,スーパースキャン（Ｂ）スーパースキャン（Ｄ）サイコショットクンフーヘッド,スーパースキャン（Ｂ）スーパースキャン（Ｄ）サイコショットクンフーヘッド,スーパースキャン（Ｂ）スーパースキャン（Ｄ）サイコショットクンフーヘッド,スーパースキャン（Ｂ）スーパースキャン（Ｄ）サイコショットクンフーヘッド,BLDRNSNS,BLDRNSNS,BLDRNSNS,BLDRNSNS
66,室伏　恐,きょう,男,山,DF,75,76,13,13,15,17,16,20,13,143,108,44,53,52,48,49,50,51,2,4,2,3,4,2,1,2,1,15,362,スーパースキャン（Ｂ）,BL,39,23,,ダイナマイトシュート,NS,70,35,,スーパースキャン（Ｄ）,DR,38,22,,じごくぐるま,DR,85,38,一致,スーパースキャン（Ｂ）ダイナマイトシュートスーパースキャン（Ｄ）じごくぐるま,スーパースキャン（Ｂ）ダイナマイトシュートスーパースキャン（Ｄ）じごくぐるま,スーパースキャン（Ｂ）ダイナマイトシュートスーパースキャン（Ｄ）じごくぐるま,スーパースキャン（Ｂ）ダイナマイトシュートスーパースキャン（Ｄ）じごくぐるま,BLNSDRDR,BLNSDRDR,BLNSDRDR,BLNSDRDR
67,稲田　則,のり,男,林,DF,76,60,15,15,15,15,16,21,15,134,117,44,44,48,55,44,48,45,2,4,2,3,4,2,1,2,1,8,336,スーパースキャン（Ｂ）,BL,39,23,一致,スーパースキャン（Ｄ）,DR,38,22,一致,サイコショット,NS,31,20,一致,アースクェイク,BL,56,30,,スーパースキャン（Ｂ）スーパースキャン（Ｄ）サイコショットアースクェイク,スーパースキャン（Ｂ）スーパースキャン（Ｄ）サイコショットアースクェイク,スーパースキャン（Ｂ）スーパースキャン（Ｄ）サイコショットアースクェイク,スーパースキャン（Ｂ）スーパースキャン（Ｄ）サイコショットアースクェイク,BLDRNSBL,BLDRNSBL,BLDRNSBL,BLDRNSBL
68,寺川　巌,いわお,男,火,MF,74,76,14,17,14,17,15,20,14,149,112,51,46,46,48,48,47,52,1,2,2,2,3,2,1,1,4,9,347,ジャッジスルー,DR,63,22,一致,パトリオットシュート,LS,69,50,一致,スーパースキャン（Ｂ）,BL,39,23,,リフレクトバスター,NS,94,40,,ジャッジスルーパトリオットシュートスーパースキャン（Ｂ）リフレクトバスター,ジャッジスルーパトリオットシュートスーパースキャン（Ｂ）リフレクトバスター,ジャッジスルーパトリオットシュートスーパースキャン（Ｂ）リフレクトバスター,ジャッジスルーパトリオットシュートスーパースキャン（Ｂ）リフレクトバスター,DRLSBLNS,DRLSBLNS,DRLSBLNS,DRLSBLNS
